fips,year,value
37063001304,2020,39
37063001304,2021,30
37063001304,2022,48
37063001400,2012,62
37063001400,2013,166
37063001400,2014,151
37063001400,2015,91
37063001400,2016,96
37063001400,2017,105
37063001400,2018,122
37063001400,2019,64
37063001400,2020,92
37063001400,2021,76
37063001400,2022,97
37063001501,2012,0
37063001501,2013,0
37063001501,2014,0
37063001501,2015,0
37063001501,2016,0
37063001501,2017,0
37063001501,2018,0
37063001501,2019,1
37063001501,2020,0
37063001501,2021,0
37063001501,2022,0
37063001502,2012,3
37063001502,2013,2
37063001502,2014,1
37063001502,2015,8
37063001502,2016,0
37063001502,2017,0
37063001502,2018,3
37063001502,2019,5
37063001502,2020,2
37063001502,2021,2
37063001502,2022,3
37063001503,2012,0
37063001503,2013,0
37063001503,2014,0
37063001503,2015,0
37063001503,2016,0
37063001503,2017,0
37063001503,2018,0
37063001503,2019,0
37063001503,2020,1
37063001503,2021,0
37063001503,2022,0
37063001601,2012,17
37063001601,2013,25
37063001601,2014,15
37063001601,2015,23
37063001601,2016,34
37063001601,2017,27
37063001601,2018,19
37063001601,2019,17
37063001601,2020,15
37063001601,2021,11
37063001601,2022,15
37063001603,2012,16
37063001603,2013,23
37063001603,2014,11
37063001603,2015,16
37063001603,2016,20
37063001603,2017,21
37063001603,2018,23
37063001603,2019,13
37063001603,2020,12
37063001603,2021,11
37063001603,2022,6
37063001604,2012,6
37063001604,2013,8
37063001604,2014,4
37063001604,2015,6
37063001604,2016,12
37063001604,2017,5
37063001604,2018,8
37063001604,2019,7
37063001604,2020,5
37063001604,2021,8
37063001604,2022,4
37063001705,2012,47
37063001705,2013,45
37063001705,2014,56
37063001705,2015,56
37063001705,2016,65
37063001705,2017,61
37063001705,2018,42
37063001705,2019,66
37063001705,2020,67
37063001705,2021,49
37063001705,2022,48
37063001706,2012,9
37063001706,2013,5
37063001706,2014,5
37063001706,2015,9
37063001706,2016,19
37063001706,2017,14
37063001706,2018,14
37063001706,2019,15
37063001706,2020,14
37063001706,2021,16
37063001706,2022,7
37063001707,2012,23
37063001707,2013,29
37063001707,2014,25
37063001707,2015,16
37063001707,2016,37
37063001707,2017,41
37063001707,2018,40
37063001707,2019,39
37063001707,2020,26
37063001707,2021,37
37063001707,2022,44
37063001708,2012,15
37063001708,2013,38
37063001708,2014,24
37063001708,2015,19
37063001708,2016,30
37063001708,2017,16
37063001708,2018,26
37063001708,2019,45
37063001708,2020,23
37063001708,2021,16
37063001708,2022,18
37063001709,2012,42
37063001709,2013,46
37063001709,2014,59
37063001709,2015,77
37063001709,2016,65
37063001709,2017,71
37063001709,2018,72
37063001709,2019,68
37063001709,2020,57
37063001709,2021,61
37063001709,2022,49
