fips,year,value
370630010024,2018,75
370630010024,2019,85
370630010024,2020,35
370630010024,2021,30
370630011001,2000,417
370630011001,2001,382
370630011001,2002,447
370630011001,2004,358
370630011001,2005,373
370630011001,2006,306
370630011001,2007,268
370630011001,2008,349
370630011001,2009,340
370630011001,2010,261
370630011001,2011,243
370630011001,2012,214
370630011001,2013,205
370630011001,2014,191
370630011001,2015,174
370630011001,2016,181
370630011001,2017,151
370630011001,2018,111
370630011001,2019,144
370630011001,2020,52
370630011001,2021,28
370630011002,2000,208
370630011002,2001,228
370630011002,2002,241
370630011002,2004,196
370630011002,2005,188
370630011002,2006,151
370630011002,2007,147
370630011002,2008,163
370630011002,2009,125
370630011002,2010,89
370630011002,2011,53
370630011002,2012,46
370630011002,2013,137
370630011002,2014,73
370630011002,2015,87
370630011002,2016,129
370630011002,2017,77
370630011002,2018,67
370630011002,2019,72
370630011002,2020,23
370630011002,2021,7
370630013011,2000,254
370630013011,2001,246
370630013011,2002,263
370630013011,2004,179
370630013011,2005,135
370630013011,2006,111
370630013011,2007,115
370630013011,2008,148
370630013011,2009,144
370630013011,2010,146
370630013011,2011,134
370630013011,2012,124
370630013011,2013,113
370630013011,2014,135
370630013011,2015,118
370630013011,2016,105
370630013011,2017,136
370630013011,2018,119
370630013011,2019,120
370630013011,2020,81
370630013011,2021,43
370630013031,2000,109
370630013031,2001,95
370630013031,2002,129
370630013031,2004,134
370630013031,2005,134
370630013031,2006,123
370630013031,2007,108
370630013031,2008,116
370630013031,2009,127
370630013031,2010,85
370630013031,2011,96
370630013031,2012,64
370630013031,2013,61
370630013031,2014,60
370630013031,2015,57
370630013031,2016,60
370630013031,2017,62
370630013031,2018,72
370630013031,2019,90
370630013031,2020,21
370630013031,2021,20
370630013032,2000,48
370630013032,2001,45
370630013032,2002,58
370630013032,2004,41
370630013032,2005,32
370630013032,2006,28
370630013032,2007,30
370630013032,2008,49
370630013032,2009,42
370630013032,2010,33
370630013032,2011,33
370630013032,2012,32
370630013032,2013,39
370630013032,2014,46
370630013032,2015,39
370630013032,2016,46
370630013032,2017,32
370630013032,2018,37
370630013032,2019,31
370630013032,2020,20
370630013032,2021,9
370630013041,2000,202
370630013041,2001,291
370630013041,2002,446
370630013041,2004,458
370630013041,2005,474
370630013041,2006,266
370630013041,2007,278
370630013041,2008,449
370630013041,2009,447
370630013041,2010,444
370630013041,2011,456
370630013041,2012,237
370630013041,2013,257
370630013041,2014,220
370630013041,2015,129
370630013041,2016,205
370630013041,2017,152
370630013041,2018,198
370630013041,2019,230
370630013041,2020,110
370630013041,2021,49
370630014001,2000,175
370630014001,2001,169
370630014001,2002,295
370630014001,2004,280
370630014001,2005,293
370630014001,2006,176
370630014001,2007,177
370630014001,2008,178
370630014001,2009,215
370630014001,2010,169
370630014001,2011,139
370630014001,2012,93
370630014001,2013,134
370630014001,2014,117
370630014001,2015,95
370630014001,2016,170
370630014001,2017,123
370630014001,2018,101
370630014001,2019,114
370630014001,2020,16
370630014001,2021,12
370630014002,2000,360
370630014002,2001,352
370630014002,2002,492
370630014002,2004,515
370630014002,2005,523
370630014002,2006,376
370630014002,2007,335
370630014002,2008,357
370630014002,2009,470
370630014002,2010,357
370630014002,2011,330
370630014002,2012,215
370630014002,2013,241
370630014002,2014,268
370630014002,2015,256
370630014002,2016,326
370630014002,2017,270
370630014002,2018,244
370630014002,2019,293
370630014002,2020,66
370630014002,2021,35
370630015011,2000,4
370630015011,2001,0
370630015011,2002,2
370630015011,2004,0
370630015011,2005,3
370630015011,2006,0
370630015011,2007,9
370630015011,2008,5
370630015011,2009,7
370630015011,2010,5
370630015011,2011,4
370630015011,2012,1
370630015011,2013,0
370630015011,2014,0
370630015011,2015,0
370630015011,2016,0
370630015011,2017,0
370630015011,2018,0
370630015011,2019,0
370630015011,2020,0
370630015011,2021,1
370630015021,2000,172
370630015021,2001,132
370630015021,2002,240
370630015021,2004,266
370630015021,2005,295
370630015021,2006,287
370630015021,2007,405
370630015021,2008,326
370630015021,2009,203
370630015021,2010,233
370630015021,2011,258
370630015021,2012,234
370630015021,2013,231
370630015021,2014,193
370630015021,2015,156
370630015021,2016,194
370630015021,2017,193
370630015021,2018,182
370630015021,2019,243
370630015021,2020,178
370630015021,2021,159
370630015022,2000,9
370630015022,2001,13
370630015022,2002,13
370630015022,2004,17
370630015022,2005,14
370630015022,2006,22
370630015022,2007,46
370630015022,2008,21
370630015022,2009,14
370630015022,2010,22
370630015022,2011,21
370630015022,2012,1
370630015022,2013,1
370630015022,2014,8
370630015022,2015,18
370630015022,2016,8
370630015022,2017,8
370630015022,2018,13
370630015022,2019,6
370630015022,2020,3
370630015022,2021,2
370630015023,2000,190
370630015023,2001,163
370630015023,2002,178
370630015023,2004,210
370630015023,2005,198
370630015023,2006,232
370630015023,2007,161
370630015023,2008,187
370630015023,2009,155
370630015023,2010,126
370630015023,2011,94
370630015023,2012,77
370630015023,2013,59
370630015023,2014,97
370630015023,2015,58
370630015023,2016,71
370630015023,2017,71
370630015023,2018,36
370630015023,2019,37
370630015023,2020,11
370630015023,2021,15
370630015024,2000,138
370630015024,2001,158
370630015024,2002,191
370630015024,2004,204
370630015024,2005,234
370630015024,2006,286
370630015024,2007,211
370630015024,2008,238
370630015024,2009,229
370630015024,2010,178
370630015024,2011,217
370630015024,2012,217
370630015024,2013,203
370630015024,2014,202
370630015024,2015,137
370630015024,2016,101
370630015024,2017,113
370630015024,2018,103
370630015024,2019,77
370630015024,2020,33
370630015024,2021,7
370630015031,2000,2
370630015031,2001,0
370630015031,2002,0
370630015031,2004,0
370630015031,2005,0
370630015031,2006,0
370630015031,2007,0
370630015031,2008,0
370630015031,2009,0
370630015031,2010,0
370630015031,2011,0
370630015031,2012,0
370630015031,2013,0
370630015031,2014,0
370630015031,2015,0
370630015031,2016,0
370630015031,2017,0
370630015031,2018,0
370630015031,2019,0
370630015031,2020,0
370630015031,2021,0
370630016011,2000,4
370630016011,2001,4
370630016011,2002,2
370630016011,2004,10
370630016011,2005,13
370630016011,2006,15
370630016011,2007,22
370630016011,2008,9
370630016011,2009,6
370630016011,2010,7
370630016011,2011,7
370630016011,2012,6
370630016011,2013,13
370630016011,2014,10
370630016011,2015,5
370630016011,2016,4
370630016011,2017,4
370630016011,2018,1
370630016011,2019,0
370630016011,2020,3
370630016011,2021,4
370630016012,2000,39
370630016012,2001,54
370630016012,2002,28
370630016012,2004,45
370630016012,2005,22
370630016012,2006,16
370630016012,2007,41
370630016012,2008,44
370630016012,2009,49
370630016012,2010,56
370630016012,2011,43
370630016012,2012,18
370630016012,2013,17
370630016012,2014,9
370630016012,2015,20
370630016012,2016,21
370630016012,2017,12
370630016012,2018,19
370630016012,2019,12
370630016012,2020,1
370630016012,2021,1
370630016013,2000,28
370630016013,2001,26
370630016013,2002,20
370630016013,2004,27
370630016013,2005,31
370630016013,2006,24
370630016013,2007,25
370630016013,2008,37
370630016013,2009,17
370630016013,2010,25
370630016013,2011,18
370630016013,2012,16
370630016013,2013,13
370630016013,2014,7
370630016013,2015,11
370630016013,2016,16
370630016013,2017,8
370630016013,2018,10
370630016013,2019,13
370630016013,2020,7
370630016013,2021,6
370630016031,2000,4
370630016031,2001,5
370630016031,2002,38
370630016031,2004,5
370630016031,2005,3
370630016031,2006,2
370630016031,2007,5
370630016031,2008,3
370630016031,2009,6
370630016031,2010,11
370630016031,2011,16
370630016031,2012,4
370630016031,2013,0
370630016031,2014,1
370630016031,2015,0
370630016031,2016,1
370630016031,2017,2
370630016031,2018,3
370630016031,2019,1
370630016031,2020,0
370630016031,2021,1
370630016032,2000,15
370630016032,2001,16
370630016032,2002,17
370630016032,2004,14
370630016032,2005,10
370630016032,2006,25
370630016032,2007,10
370630016032,2008,26
370630016032,2009,17
370630016032,2010,14
370630016032,2011,22
370630016032,2012,18
370630016032,2013,8
370630016032,2014,7
370630016032,2015,23
370630016032,2016,23
370630016032,2017,18
370630016032,2018,9
370630016032,2019,7
370630016032,2020,3
370630016032,2021,2
370630016033,2000,4
370630016033,2001,12
370630016033,2002,9
370630016033,2004,5
370630016033,2005,7
370630016033,2006,14
370630016033,2007,20
370630016033,2008,19
370630016033,2009,14
370630016033,2010,11
370630016033,2011,3
370630016033,2012,9
370630016033,2013,7
370630016033,2014,4
370630016033,2015,2
370630016033,2016,2
370630016033,2017,1
370630016033,2018,1
370630016033,2019,5
370630016033,2020,1
370630016033,2021,2
370630016034,2000,14
370630016034,2001,9
370630016034,2002,19
370630016034,2004,4
370630016034,2005,4
370630016034,2006,14
370630016034,2007,15
370630016034,2008,23
370630016034,2009,9
370630016034,2010,3
370630016034,2011,3
370630016034,2012,2
370630016034,2013,1
370630016034,2014,1
370630016034,2015,0
370630016034,2016,2
370630016034,2017,2
370630016034,2018,4
370630016034,2019,5
370630016034,2020,2
370630016034,2021,0
370630016041,2000,4
370630016041,2001,7
370630016041,2002,8
370630016041,2004,11
370630016041,2005,2
370630016041,2006,16
370630016041,2007,15
370630016041,2008,12
370630016041,2009,19
370630016041,2010,3
370630016041,2011,11
370630016041,2012,5
370630016041,2013,11
370630016041,2014,7
370630016041,2015,3
370630016041,2016,1
370630016041,2017,2
370630016041,2018,6
370630016041,2019,4
370630016041,2020,0
370630016041,2021,2
370630016042,2000,10
370630016042,2001,13
370630016042,2002,11
370630016042,2004,16
370630016042,2005,4
370630016042,2006,10
370630016042,2007,10
370630016042,2008,6
370630016042,2009,8
370630016042,2010,5
370630016042,2011,6
370630016042,2012,8
370630016042,2013,1
370630016042,2014,1
370630016042,2015,4
370630016042,2016,6
370630016042,2017,2
370630016042,2018,7
370630016042,2019,8
370630016042,2020,4
370630016042,2021,0
370630016043,2000,10
370630016043,2001,7
370630016043,2002,7
370630016043,2004,6
370630016043,2005,13
370630016043,2006,8
370630016043,2007,5
370630016043,2008,9
370630016043,2009,18
370630016043,2010,11
370630016043,2011,21
370630016043,2012,5
370630016043,2013,9
370630016043,2014,2
370630016043,2015,3
370630016043,2016,5
370630016043,2017,6
370630016043,2018,5
370630016043,2019,5
370630016043,2020,1
370630016043,2021,5
370630017051,2000,63
370630017051,2001,59
370630017051,2002,46
370630017051,2004,14
370630017051,2005,23
370630017051,2006,33
370630017051,2007,29
370630017051,2008,45
370630017051,2009,35
370630017051,2010,31
370630017051,2011,27
370630017051,2012,19
370630017051,2013,29
370630017051,2014,27
370630017051,2015,22
370630017051,2016,30
370630017051,2017,13
370630017051,2018,14
370630017051,2019,30
370630017051,2020,2
370630017051,2021,4
370630017052,2000,34
370630017052,2001,19
370630017052,2002,39
370630017052,2004,36
370630017052,2005,40
370630017052,2006,46
370630017052,2007,44
370630017052,2008,49
370630017052,2009,49
370630017052,2010,32
370630017052,2011,30
370630017052,2012,36
370630017052,2013,51
370630017052,2014,13
370630017052,2015,16
370630017052,2016,15
370630017052,2017,44
370630017052,2018,71
370630017052,2019,86
370630017052,2020,59
370630017052,2021,35
370630017053,2000,17
370630017053,2001,10
370630017053,2002,26
370630017053,2004,54
370630017053,2005,54
370630017053,2006,76
370630017053,2007,65
370630017053,2008,32
370630017053,2009,90
370630017053,2010,58
370630017053,2011,89
370630017053,2012,72
370630017053,2013,76
370630017053,2014,55
370630017053,2015,49
370630017053,2016,30
370630017053,2017,42
370630017053,2018,63
370630017053,2019,60
370630017053,2020,30
370630017053,2021,19
370630017061,2000,99
370630017061,2001,151
370630017061,2002,227
370630017061,2004,175
370630017061,2005,213
370630017061,2006,363
