id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
370630020253,169538,174097,173880,172676,148070,152424,157132,167832,129981,330330,388772,382956,519984
370630020261,309709,249480,257880,398366,370798,350169,517704,773145,897438,727454,827640,626220,629640
370630020262,815100,880490,891333,932396,1016280,1049802,1114350,1095142,1163152,765454,741300,1612076,2193703
370630020271,135121,99372,117075,125430,142002,175131,61707,57950,74100,522120,380490,333695,492567
370630020272,953194,1013553,1042525,1159020,1310375,1783355,1845460,2006396,1855791,502996,547287,2469573,3258926
370630020273,779034,749472,781284,883548,825370,870610,1065142,1076483,1416768,518560,502223,1377163,1638950
370630020281,86100,193998,233625,269048,258816,272440,280084,290319,488480,299084,425221,863869,967065
370630020282,522156,496725,533606,597228,638144,701311,716295,937278,941168,492280,526777,1420444,1286686
370630020283,1235780,1275444,1269572,1273626,1360040,1434640,1579930,2115324,2478804,1376906,1470331,3337955,4160253
370630021001,52788,78169,57408,41514,,,,,,,,,
370630021002,111104,132975,93457,,,,,,,,,,
370630021003,95883,37392,,73619,,,,103086,,,,,
370630022001,595340,620256,776440,785850,743239,761280,950060,1066897,1206200,768216,932354,2138328,2475528
370630023001,161868,144855,140295,156366,116127,97083,160229,80907,78165,474159,771713,571569,806868
370630023002,23591,47320,71808,85785,89694,96288,91608,159348,200838,474159,771713,559314,789567
370639801001,,,,,,,,,,1003080,1091341,,
